-11.4701 -2.66918 -9.53939 -10.4075 -3.73351 5.98575 0.183989 -11.4935 7.30593 6.88055 0.197377 5.88139 74.2531
-14.5234 -1.66691 -8.84339 -1.11442 -1.64229 0.277669 -6.19876 -7.45699 -2.8424 0.259987 -2.56008 -5.3694 31.4238
-12.9576 -0.984849 -8.28579 -5.97671 -3.04236 -8.30305 -9.23492 -0.906999 -4.1952 -3.70387 -7.03601 -9.30281 33.2435
-13.4957 -2.43543 -6.59655 -3.37332 -7.10457 -2.5731 -7.27934 -0.798042 -4.36218 0.882884 -4.96866 -2.49352 31.6906
-14.7135 -0.436411 -5.87447 -8.51239 -11.4207 0.879586 -0.9742 -3.7927 -2.4551 5.18357 -3.16009 -2.43291 34.6155
-13.4279 -2.3777 -8.32581 -3.41133 -6.02679 -7.57587 -9.84122 -3.97845 -3.08749 -0.414763 -2.73795 -5.62334 32.9115
-12.4424 -5.21865 -8.62871 -2.1398 -5.00071 -10.9689 -7.50328 -6.943 -8.8889 6.3731 -1.90578 -1.52381 31.5141
-13.5126 -2.90815 -7.2356 -0.358787 -7.88141 -7.58029 -3.625 -9.33115 -1.9403 4.61607 -0.820725 -2.82389 32.3657
-12.4198 -0.592092 -3.99499 -1.42415 -8.70945 -3.6664 -5.26557 -8.79347 1.36701 3.79025 -6.36182 -4.5707 31.6983
-12.111 -2.43597 -10.3397 -2.68948 -8.66037 -7.77407 -14.8876 -6.74165 2.60728 2.99312 -2.62677 -0.652775 31.6582
-13.8872 -0.508662 -11.914 -2.35115 -4.288 -6.60203 -9.62747 -7.58418 -10.7701 3.26052 -6.41001 -5.56899 31.7562
-13.0105 -3.61776 -9.53676 -1.68909 -5.86011 -6.64227 -9.10339 -6.41122 -0.573909 3.2773 3.63364 1.45821 31.5336
-14.2452 -1.77389 -8.31972 -2.42423 -4.56641 -7.64778 -13.4228 -12.9011 2.8572 -3.12336 2.21583 1.53834 32.1787
-13.5537 -2.25677 -9.06683 -8.3439 -4.18104 1.09382 -6.60163 -11.0121 -1.44883 -5.7252 -2.50635 2.46431 33.7894
-13.2037 -5.83702 -9.60798 -5.93771 -5.53228 -6.70658 -13.2553 -7.94844 -2.14147 2.46158 0.532048 1.24697 33.5912
-14.2406 -4.5689 -11.0743 -3.0789 -9.23602 -6.59579 -5.9572 -9.99029 -1.1179 -0.333152 -3.99785 -6.19965 32.5364
-14.8436 -5.57486 -13.6933 -1.59347 -6.27491 -8.4897 -6.48227 -4.20042 -8.165 3.47974 -0.0730986 0.721878 32.891
-13.6412 -2.50429 -5.20978 -1.1404 -5.4305 -6.12176 -7.56043 -1.14246 -2.12505 -0.293913 -5.43304 -1.91372 31.0145
-13.5747 -2.08691 -6.11888 -4.5797 -7.36886 0.614044 -4.63595 -7.18055 0.347487 -4.12016 -3.99584 -4.14475 32.5018
-13.4431 -2.91088 -7.04324 -1.54059 -8.69533 -7.19368 -12.4543 -3.51478 -2.37171 4.06907 5.12509 -3.17066 32.5223
-13.5853 -1.67919 -9.49278 -3.06873 -10.0877 -10.3161 -10.2548 -9.28307 -8.40097 2.92553 -2.05765 -9.94746 32.1955
-12.5854 -1.66223 -9.33655 -3.2007 -6.90071 -3.06316 -4.24306 -5.12528 1.04051 2.34335 1.14445 -4.82999 32.8691
-11.9149 -1.05569 -9.44082 -5.49946 -6.95246 -4.89657 -4.408 -10.5799 -6.30462 3.57735 -7.418 -7.7355 33.4922
-12.9342 -3.52932 -6.98144 -0.0668794 -3.35422 -2.4123 -5.93368 -14.8841 -3.52987 2.37305 -6.88623 -0.399786 33.49
-11.1961 -4.26431 -8.31323 -3.50115 -6.71408 1.94156 -6.20504 -12.0669 2.45518 3.35209 -4.16624 2.10352 34.7374
-12.1912 -4.08864 -7.85568 -7.06425 -6.94475 1.60258 -8.36277 -8.47809 -2.92564 1.05828 -5.3319 -1.34371 33.6648
-14.2602 -1.17412 -5.86211 -10.7351 -12.6982 -2.03889 -6.93469 -7.00664 3.0904 2.60992 -5.731 -4.56439 33.0037
